Время_[с]	Перемещение_[мм]	Усилие_[Н]
0.00	0.000	5.34700E+2
0.10	0.003	5.57100E+2
0.20	0.004	5.65200E+2
0.30	0.006	5.77500E+2
0.40	0.008	5.88300E+2
0.50	0.010	5.98700E+2
0.60	0.011	6.08900E+2
0.70	0.013	6.18800E+2
0.80	0.015	6.29100E+2
0.90	0.017	6.38100E+2
1.00	0.018	6.47100E+2
1.10	0.020	6.56300E+2
1.20	0.022	6.65000E+2
1.30	0.024	6.74200E+2
1.40	0.026	6.83500E+2
1.50	0.027	6.92000E+2
1.60	0.029	7.01000E+2
1.70	0.031	7.10500E+2
1.80	0.033	7.19100E+2
1.90	0.035	7.27900E+2
2.00	0.036	7.36300E+2
2.10	0.038	7.44800E+2
2.20	0.040	7.52200E+2
2.30	0.041	7.61100E+2
2.40	0.043	7.69000E+2
2.50	0.045	7.76700E+2
2.60	0.047	7.84400E+2
2.70	0.048	7.92800E+2
2.80	0.050	8.00300E+2
2.90	0.052	8.07900E+2
3.00	0.054	8.15400E+2
3.10	0.055	8.23100E+2
3.20	0.057	8.31000E+2
3.30	0.059	8.38600E+2
3.40	0.060	8.45400E+2
3.50	0.062	8.53500E+2
3.60	0.064	8.60600E+2
3.70	0.066	8.68700E+2
3.80	0.067	8.75300E+2
3.90	0.069	8.83100E+2
4.00	0.071	8.90400E+2
4.10	0.073	8.98000E+2
4.20	0.074	9.04600E+2
4.30	0.076	9.12100E+2
4.40	0.078	9.19000E+2
4.50	0.080	9.26100E+2
4.60	0.081	9.33200E+2
4.70	0.083	9.40700E+2
4.80	0.085	9.47000E+2
4.90	0.087	9.54600E+2
5.00	0.088	9.61700E+2
5.10	0.090	9.69200E+2
5.20	0.092	9.76100E+2
5.30	0.094	9.82000E+2
5.40	0.095	9.88900E+2
5.50	0.097	9.96300E+2
5.60	0.099	1.00340E+3
5.70	0.101	1.00990E+3
5.80	0.102	1.01660E+3
5.90	0.104	1.02280E+3
6.00	0.106	1.02990E+3
6.10	0.108	1.03620E+3
6.20	0.109	1.04270E+3
6.30	0.112	1.05230E+3
6.40	0.113	1.05690E+3
6.50	0.115	1.06330E+3
6.60	0.117	1.07010E+3
6.70	0.118	1.07660E+3
6.80	0.120	1.08330E+3
6.90	0.122	1.09000E+3
7.00	0.124	1.09630E+3
7.10	0.126	1.10250E+3
7.20	0.127	1.10830E+3
7.30	0.129	1.11470E+3
7.40	0.131	1.12170E+3
7.50	0.133	1.12710E+3
7.60	0.135	1.13390E+3
7.70	0.136	1.13950E+3
7.80	0.138	1.14580E+3
7.90	0.140	1.15100E+3
8.00	0.141	1.15690E+3
8.10	0.143	1.16260E+3
8.20	0.145	1.16840E+3
8.30	0.147	1.17460E+3
8.40	0.148	1.18040E+3
8.50	0.150	1.18620E+3
8.60	0.152	1.19240E+3
8.70	0.154	1.19770E+3
8.80	0.155	1.20370E+3
8.90	0.157	1.20930E+3
9.00	0.159	1.21510E+3
9.10	0.161	1.22150E+3
9.20	0.162	1.22710E+3
9.30	0.164	1.23300E+3
